City,Recep Tayyip Erdogan Percentage,R E Votes,Kemal,Kemal Votes
Adana,45.96,621003,54.04,730274
Adiyaman,68.84,216491,31.16,97982
Afyonkarahisar,67.84,312452,32.16,148136
Agri,34.66,68790,65.34,129693
Amasya,59.16,134428,40.84,92811
Ankara,48.77,1817796,51.23,1909749
Antalya,42.65,689175,57.35,926707
Artvin,50.65,57308,49.35,55833
Aydin,40.16,301709,59.84,449559
Balikesir,47.8,412724,52.2,450802
Bilecik,53.47,78219,46.53,68057
Bingol,68.08,95730,31.92,44885
Bitlis,49.79,82224,50.21,82926
Bolu,64.67,133670,35.33,73030
Burdur,55.83,97956,44.17,77496
Bursa,54.66,1118511,45.34,927775
Canakkale,41.91,160736,58.09,222754
Cankiri,76.76,92593,23.24,28040
Corum,64.78,225583,35.22,122664
Denizli,47.01,326035,52.99,367447
Diyarbakir,28.34,242074,71.66,611981
Edirne,33.09,91801,66.91,185607
Elazig,70.27,244904,29.73,103607
Erzincan,62.05,92243,37.95,56412
Erzurum,73.56,306489,26.44,110188
Eskisehir,44.59,266063,55.41,330595
Gaziantep,62.72,697194,37.28,414367
Giresun,64.69,190440,35.31,103960
Gumushane,78.54,60401,21.46,16505
Hakkari,27.89,39754,72.11,102784
Hatay,50.14,430651,49.86,428258
Isparta,57.67,160927,42.33,118138
Mersin,39.73,467668,60.27,709410
Istanbul,48.22,4768657,51.78,5121194
Izmir,32.87,978316,67.13,1998359
Kars,43.6,59057,56.4,76383
Kastamonu,69.73,172280,30.27,74804
Kayseri,67.89,604784,32.11,285990
Kirklareli,31.58,80875,68.42,175251
Kirsehir,57.32,82464,42.68,61401
Kocaeli,57.01,754914,42.99,569245
Konya,72.99,1008416,27.01,373100
Kutahya,70.59,266424,29.41,110993
Malatya,71.96,302280,28.04,117804
Manisa,50.2,485424,49.8,481622
Kahramanmaras,75.77,469039,24.23,150013
Mardin,34.76,146215,65.24,274420
Mugla,33.46,232111,66.54,461644
Mus,41.67,72704,58.33,101792
Nevsehir,66.54,129867,33.46,65310
Nigde,62.05,133950,37.95,81941
Ordu,65.21,320120,34.79,170786
Rize,75.86,173248,24.14,55145
Sakarya,68.49,469765,31.51,216128
Samsun,65.34,570063,34.66,302436
Siirt,44.56,69113,55.44,85992
Sinop,61.85,89454,38.15,55184
Sivas,73.09,288136,26.91,106082
Tekirdag,40.67,302233,59.33,440815
Tokat,66.3,255247,33.7,129769
Trabzon,68.89,358915,31.11,162055
Tunceli,17.19,9778,82.81,47112
Sanliurfa,64.86,610116,35.14,330565
Usak,51.02,123777,48.98,118815
Van,38.5,193036,61.5,308421
Yozgat,76.36,190924,23.64,59098
Zonguldak,54.8,211991,45.2,174859
Aksaray,75.38,185625,24.62,60611
Bayburt,82.45,39731,17.55,8455
Karaman,65.88,105317,34.12,54533
Kirikkale,63.71,108346,36.29,61710
Batman,31.94,100177,68.06,213499
Sirnak,23.7,60133,76.3,193639
Bartin,60,77963,40,51971
Ardahan,42.32,22497,57.68,30657
Igdir,33.22,31501,66.78,63326
Yalova,50.42,85212,49.58,83799
Karabuk,63.72,98521,36.28,56084
Kilis,69.99,57337,30.01,24580
Osmaniye,66.2,212942,33.8,108743
Duzce,71.93,187783,28.07,73278
